received_at,application_id,device_id,f_port,f_cnt,rssi,snr,data_rate_index,consumed_airtime,frm_payload,decoded_payload
2024-06-11T01:57:19.102405669Z,firework,eui-70b3d57ed005de4f,1,160,-35,13.5,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T01:57:40.239834323Z,firework,eui-70b3d57ed005de4f,1,161,-40,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T01:59:04.849703278Z,firework,eui-70b3d57ed005de4f,1,165,-38,13.5,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T01:59:25.981624132Z,firework,eui-70b3d57ed005de4f,1,166,-38,13.8,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T01:59:47.121204828Z,firework,eui-70b3d57ed005de4f,1,167,-40,9.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:00:08.273196858Z,firework,eui-70b3d57ed005de4f,1,168,-40,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:00:29.417581296Z,firework,eui-70b3d57ed005de4f,1,169,-36,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:00:50.569672642Z,firework,eui-70b3d57ed005de4f,1,170,-29,13.8,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:01:11.719341072Z,firework,eui-70b3d57ed005de4f,1,171,-28,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:01:32.862537717Z,firework,eui-70b3d57ed005de4f,1,172,-29,10.8,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:01:54.019183453Z,firework,eui-70b3d57ed005de4f,1,173,-28,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:02:15.160968802Z,firework,eui-70b3d57ed005de4f,1,174,-29,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:02:36.326186585Z,firework,eui-70b3d57ed005de4f,1,175,-29,13.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:02:57.474483658Z,firework,eui-70b3d57ed005de4f,1,176,-28,12.8,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:03:18.614813884Z,firework,eui-70b3d57ed005de4f,1,177,-28,13.8,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:03:39.755253249Z,firework,eui-70b3d57ed005de4f,1,178,-29,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:04:00.900596276Z,firework,eui-70b3d57ed005de4f,1,179,-28,14,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:04:22.076301927Z,firework,eui-70b3d57ed005de4f,1,180,-28,13,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:04:43.204251326Z,firework,eui-70b3d57ed005de4f,1,181,-28,14.3,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:05:04.380296170Z,firework,eui-70b3d57ed005de4f,1,182,-28,13.5,-,0.051456s,AHQfbQ==,"{'degreesC': 25, 'humidity': 16.0034}"
2024-06-11T02:05:25.505070611Z,firework,eui-70b3d57ed005de4f,1,183,-28,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:05:46.653269664Z,firework,eui-70b3d57ed005de4f,1,184,-28,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:06:07.802782748Z,firework,eui-70b3d57ed005de4f,1,185,-28,13,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:06:28.954196451Z,firework,eui-70b3d57ed005de4f,1,186,-29,10.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T02:06:50.109663779Z,firework,eui-70b3d57ed005de4f,1,187,-29,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
